date,high,low,close,change,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2014-04-18,177.77,173.3,175.31,0.000628,179.6,151.01,1.0,272.934087355
2014-04-21,175.98,172.0,172.05,-0.018596,179.6,151.01,1.0,267.858605067
2014-04-22,175.13,171.52,172.13,0.000465,179.6,151.01,1.0,267.983159318
2014-04-23,176.49,172.03,176.06,0.022832,179.6,151.01,1.0,274.101750811
2014-04-24,176.71,173.7,175.76,-0.001704,179.6,151.01,1.0,273.634681428
2014-04-25,168.0,161.79,164.69,-0.062984,179.6,151.01,1.0,256.400074653
2014-04-28,164.56,159.81,162.79,-0.011537,179.6,152.0,1.0,253.441986992
2014-04-29,165.48,162.47,163.59,0.004914,179.6,154.4,1.0,254.687400916
2014-04-30,164.29,162.53,163.88,0.001773,179.6,159.5,1.0,255.138961678
2014-05-05,163.5,157.08,160.25,-0.02215,179.6,157.08,1.0,249.487633677
2014-05-06,162.7,160.0,160.79,0.00337,179.6,157.08,1.0,250.328407002
2014-05-07,161.61,159.6,160.66,-0.000809,179.6,157.08,1.0,250.125891321
2014-05-08,162.49,160.42,160.67,6.2e-05,179.6,157.08,1.0,250.141399126
2014-05-09,162.3,160.3,160.62,-0.000311,179.6,157.08,1.0,250.063605151
2014-05-12,162.3,159.5,160.91,0.001806,179.6,157.08,1.0,250.515220022
2014-05-13,161.61,159.56,160.74,-0.001056,177.77,157.08,1.0,250.250675949
2014-05-14,160.93,154.01,155.27,-0.03403,177.77,154.01,1.0,241.734645447
2014-05-15,157.08,154.5,156.15,0.005668,177.77,154.01,0.0,241.734645447
2014-05-16,157.1,154.67,155.16,-0.00634,177.77,154.01,0.0,241.734645447
2014-05-19,153.0,147.94,147.98,-0.046275,177.77,147.94,0.0,241.734645447
2014-05-20,149.44,143.6,144.98,-0.020273,176.71,143.6,0.0,241.734645447
2014-05-21,151.66,143.95,151.0,0.041523,176.71,143.6,0.0,241.734645447
2014-05-22,153.6,149.65,150.05,-0.006291,176.71,143.6,0.0,241.734645447
2014-05-23,152.78,149.98,152.3,0.014995,176.71,143.6,0.0,241.734645447
2014-05-26,154.9,152.85,153.57,0.008339,168.0,143.6,0.0,241.734645447
2014-05-27,155.75,152.86,153.2,-0.002409,165.48,143.6,0.0,241.734645447
2014-05-28,155.0,152.8,153.94,0.00483,165.48,143.6,0.0,241.734645447
2014-05-29,155.93,153.46,154.29,0.002274,164.29,143.6,0.0,241.734645447
2014-05-30,155.28,153.02,153.22,-0.006935,163.5,143.6,0.0,241.734645447
2014-06-03,154.5,152.25,152.77,-0.002937,162.7,143.6,0.0,241.734645447
2014-06-04,153.38,150.02,151.15,-0.010604,162.49,143.6,0.0,241.734645447
2014-06-05,155.0,149.33,154.77,0.02395,162.49,143.6,0.0,241.734645447
2014-06-06,155.65,152.29,153.59,-0.007624,162.3,143.6,0.0,241.734645447
2014-06-09,154.4,152.3,153.23,-0.002344,162.3,143.6,0.0,241.734645447
2014-06-10,155.29,153.25,154.8,0.010246,161.61,143.6,0.0,241.734645447
2014-06-11,155.38,153.21,153.94,-0.005556,160.93,143.6,0.0,241.734645447
2014-06-12,154.07,152.12,152.63,-0.00851,157.1,143.6,0.0,241.734645447
2014-06-13,153.83,151.16,152.81,0.001179,157.1,143.6,0.0,241.734645447
2014-06-16,154.78,152.4,154.42,0.010536,155.93,143.6,0.0,241.734645447
2014-06-17,154.3,152.2,153.19,-0.007965,155.93,143.6,0.0,241.734645447
2014-06-18,154.45,153.4,153.58,0.002546,155.93,143.95,0.0,241.734645447
2014-06-19,154.2,152.5,152.73,-0.005535,155.93,149.33,0.0,241.734645447
2014-06-20,153.6,152.32,153.18,0.002946,155.93,149.33,0.0,241.734645447
2014-06-23,156.38,153.36,156.31,0.020433,156.38,149.33,0.0,241.734645447
2014-06-24,163.8,156.55,163.57,0.046446,163.8,149.33,1.0,252.962252789
2014-06-25,145.33,141.5,142.23,-0.01677,163.8,141.5,1.0,248.72007581
2014-06-26,142.98,141.41,141.64,-0.004148,163.8,141.41,0.0,248.72007581
2014-06-27,141.42,139.22,140.38,-0.008896,163.8,139.22,0.0,248.72007581
2014-06-30,142.89,140.4,141.98,0.011398,163.8,139.22,0.0,248.72007581
2014-07-01,142.59,140.8,141.77,-0.001479,163.8,139.22,0.0,248.72007581
2014-07-02,142.35,141.0,142.08,0.002187,163.8,139.22,0.0,248.72007581
2014-07-03,143.4,141.4,143.26,0.008305,163.8,139.22,0.0,248.72007581
2014-07-04,144.18,142.72,143.32,0.000419,163.8,139.22,0.0,248.72007581
2014-07-07,144.28,142.21,144.16,0.005861,163.8,139.22,0.0,248.72007581
2014-07-08,144.17,141.02,142.18,-0.013735,163.8,139.22,0.0,248.72007581
2014-07-09,142.87,141.02,141.24,-0.006611,163.8,139.22,0.0,248.72007581
2014-07-10,141.83,140.6,141.04,-0.001416,163.8,139.22,0.0,248.72007581
2014-07-11,143.09,141.12,141.87,0.005885,163.8,139.22,0.0,248.72007581
2014-07-14,150.89,141.5,149.77,0.055685,163.8,139.22,0.0,248.72007581
2014-07-15,158.0,149.11,153.81,0.026975,163.8,139.22,0.0,248.72007581
2014-07-16,156.78,153.85,154.57,0.004941,163.8,139.22,0.0,248.72007581
2014-07-17,155.55,152.0,153.75,-0.005305,163.8,139.22,0.0,248.72007581
2014-07-18,165.0,152.7,160.98,0.047024,165.0,139.22,0.0,248.72007581
2014-07-21,162.88,158.59,160.98,0.0,165.0,139.22,0.0,248.72007581
2014-07-22,164.0,159.6,163.2,0.013791,165.0,139.22,0.0,248.72007581
2014-07-23,165.0,161.6,163.89,0.004228,165.0,139.22,0.0,248.72007581
2014-07-24,169.1,162.3,163.53,-0.002197,169.1,139.22,0.0,248.72007581
2014-07-25,166.05,161.06,163.88,0.00214,169.1,140.4,0.0,248.72007581
2014-07-28,167.99,162.92,164.25,0.002258,169.1,140.6,0.0,248.72007581
2014-07-29,164.3,160.26,161.06,-0.019422,169.1,140.6,0.0,248.72007581
2014-07-30,160.74,156.5,158.51,-0.015833,169.1,140.6,0.0,248.72007581
2014-07-31,160.38,156.96,160.27,0.011103,169.1,140.6,0.0,248.72007581
2014-08-01,164.3,159.62,162.98,0.016909,169.1,140.6,0.0,248.72007581
2014-08-04,165.62,162.29,164.4,0.008713,169.1,140.6,0.0,248.72007581
2014-08-05,166.66,161.67,166.25,0.011253,169.1,140.6,0.0,248.72007581
2014-08-06,165.78,162.0,163.32,-0.017624,169.1,140.6,0.0,248.72007581
2014-08-07,164.39,160.5,160.6,-0.016654,169.1,141.12,0.0,248.72007581
2014-08-08,163.33,159.8,162.14,0.009589,169.1,141.5,0.0,248.72007581
2014-08-11,163.2,161.51,163.07,0.005736,169.1,149.11,0.0,248.72007581
2014-08-12,162.75,160.15,162.04,-0.006316,169.1,152.0,0.0,248.72007581
2014-08-13,164.78,160.8,162.49,0.002777,169.1,152.0,0.0,248.72007581
2014-08-14,163.44,161.28,161.46,-0.006339,169.1,152.7,0.0,248.72007581
2014-08-15,162.49,161.13,161.54,0.000495,169.1,156.5,0.0,248.72007581
2014-08-18,162.3,159.1,159.75,-0.011081,169.1,156.5,0.0,248.72007581
2014-08-19,159.75,158.45,158.68,-0.006698,169.1,156.5,0.0,248.72007581
2014-08-20,162.06,158.5,162.0,0.020923,169.1,156.5,0.0,248.72007581
2014-08-21,162.32,159.0,159.97,-0.012531,167.99,156.5,0.0,248.72007581
2014-08-22,160.39,158.75,159.27,-0.004376,167.99,156.5,0.0,248.72007581
2014-08-25,160.15,158.3,158.75,-0.003265,166.66,156.5,0.0,248.72007581
2014-08-26,159.42,156.96,157.72,-0.006488,166.66,156.5,0.0,248.72007581
2014-08-27,157.78,156.18,156.37,-0.008559,166.66,156.18,0.0,248.72007581
2014-08-28,158.36,156.0,156.02,-0.002238,166.66,156.0,0.0,248.72007581
2014-08-29,158.59,155.0,158.23,0.014165,166.66,155.0,0.0,248.72007581
2014-09-01,159.5,157.71,158.45,0.00139,166.66,155.0,0.0,248.72007581
2014-09-02,162.64,158.03,162.56,0.025939,165.78,155.0,0.0,248.72007581
2014-09-03,167.42,162.56,164.82,0.013903,167.42,155.0,0.0,248.72007581
2014-09-04,165.94,163.68,165.06,0.001456,167.42,155.0,0.0,248.72007581
2014-09-05,168.16,165.21,167.51,0.014843,168.16,155.0,0.0,248.72007581
2014-09-09,167.97,164.0,164.08,-0.020476,168.16,155.0,1.0,243.627283538
2014-09-10,165.0,163.01,163.91,-0.001036,168.16,155.0,1.0,243.374885672
2014-09-11,164.82,161.48,161.98,-0.011775,168.16,155.0,1.0,240.509146393
2014-09-12,162.65,160.32,162.45,0.002902,168.16,155.0,1.0,241.207103936
2014-09-15,161.91,158.8,159.41,-0.018713,168.16,155.0,1.0,236.6933954
2014-09-16,160.6,157.02,157.46,-0.012233,168.16,155.0,1.0,233.797925094
