code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600519,2013-10-25,143.010000,143.010000,135.600000,136.730000,-0.048570,5858415.000000,807380213.000000,141950351400.000000,141950351400.000000,0.005643,757.797613,2013-09-30,2013-10-16,10.169658,4.978793,10.433789,3.682164,110.308878
sh600519,2013-10-24,143.300000,143.970000,142.700000,143.710000,0.000139,2625533.000000,376580495.000000,149196847800.000000,149196847800.000000,0.002529,796.482781,2013-09-30,2013-10-16,10.688813,5.232958,10.966428,3.870137,115.940088
sh600519,2013-10-23,143.260000,144.680000,142.210000,143.690000,0.001883,2621511.000000,375070072.000000,149176084200.000000,149176084200.000000,0.002525,796.372086,2013-09-30,2013-10-16,10.687328,5.232231,10.964904,3.869599,115.923974
sh600519,2013-10-22,144.800000,144.800000,142.750000,143.420000,-0.011510,2458139.000000,353140635.000000,148895775600.000000,148895775600.000000,0.002368,794.875335,2013-09-30,2013-10-16,10.667241,5.222397,10.944296,3.862326,115.706100
sh600519,2013-10-21,143.510000,145.300000,142.200000,145.090000,0.014757,4702298.000000,677908678.000000,150629536200.000000,150629536200.000000,0.004529,804.130882,2013-09-30,2013-10-16,10.791451,5.283207,11.071732,3.907299,117.053384
sh600519,2013-10-18,144.490000,144.910000,142.000000,142.980000,-0.008392,3557495.000000,510349740.000000,148438976400.000000,148438976400.000000,0.003427,792.436891,2013-09-30,2013-10-16,10.634517,5.206376,10.910722,3.850478,115.351147
sh600519,2013-10-17,144.590000,145.800000,143.500000,144.190000,-0.000347,4862119.000000,703391970.000000,149695174200.000000,149695174200.000000,0.004683,799.143301,2013-09-30,2013-10-16,10.724518,5.250438,11.003060,3.883064,116.327367
sh600519,2013-10-16,146.300000,147.700000,142.100000,144.240000,-0.000069,9481320.000000,1382754194.000000,149747083200.000000,149747083200.000000,0.009133,799.420700,2013-09-30,2013-10-16,10.728240,5.252261,11.006879,3.884412,116.367746
sh600519,2013-10-15,139.740000,144.800000,139.080000,144.250000,0.032939,6927751.000000,986261708.000000,149757465000.000000,149757465000.000000,0.006673,799.475864,2013-06-30,2013-08-31,12.269463,6.088129,13.124757,4.790117,116.375776
sh600519,2013-10-14,137.950000,139.730000,137.320000,139.650000,0.015489,5527479.000000,767129557.000000,144981837000.000000,144981837000.000000,0.005324,773.981681,2013-06-30,2013-08-31,11.878207,5.893987,12.706226,4.637367,112.664713
sh600519,2013-10-11,135.300000,137.830000,135.300000,137.520000,0.003503,3645556.000000,499830914.000000,142770513600.000000,142770513600.000000,0.003511,762.176332,2013-06-30,2013-08-31,11.697031,5.804088,12.512422,4.566634,110.946266
sh600519,2013-10-10,137.000000,137.380000,136.250000,137.040000,0.000365,2904552.000000,397207813.000000,142272187200.000000,142272187200.000000,0.002798,759.515748,2013-06-30,2013-08-31,11.656200,5.783827,12.468744,4.550693,110.558978
sh600519,2013-10-09,136.600000,137.400000,135.800000,136.990000,0.002341,4081504.000000,557664494.000000,142220278200.000000,142220278200.000000,0.003931,759.238626,2013-06-30,2013-08-31,11.651947,5.781717,12.464194,4.549033,110.518639
sh600519,2013-10-08,135.760000,137.400000,134.190000,136.670000,0.005370,5686725.000000,773294157.000000,141888060600.000000,141888060600.000000,0.005478,757.465400,2013-06-30,2013-08-31,11.624733,5.768213,12.435084,4.538408,110.260519
sh600519,2013-09-30,133.930000,136.310000,133.520000,135.940000,0.014024,5046064.000000,681360332.000000,141130189200.000000,141130189200.000000,0.004860,753.419537,2013-06-30,2013-08-31,11.562642,5.737403,12.368664,4.514167,109.671583
sh600519,2013-09-27,135.490000,136.160000,133.790000,134.060000,-0.010043,3463925.000000,465617869.000000,139178410800.000000,139178410800.000000,0.003337,742.999709,2013-06-30,2013-08-31,11.402730,5.658055,12.197605,4.451736,108.154819
sh600519,2013-09-26,134.000000,136.220000,134.000000,135.420000,0.001924,4722783.000000,638421037.000000,140590335600.000000,140590335600.000000,0.004549,750.537356,2013-06-30,2013-08-31,11.518409,5.715455,12.321348,4.496898,109.252038
sh600519,2013-09-25,136.550000,137.500000,133.020000,135.160000,-0.011988,6978901.000000,943851491.000000,140320408800.000000,140320408800.000000,0.006722,749.096095,2013-06-30,2013-08-31,11.496290,5.704480,12.297687,4.488263,109.042240
sh600519,2013-09-24,141.000000,142.260000,136.700000,136.800000,-0.028478,9881915.000000,1371542710.000000,142023024000.000000,142023024000.000000,0.009518,758.185219,2013-06-30,2013-08-31,11.635780,5.773695,12.446901,4.542721,110.365300
sh600519,2013-09-23,141.990000,142.000000,140.050000,140.810000,-0.007681,6540962.000000,921212137.000000,146186125800.000000,146186125800.000000,0.006300,780.409727,2013-06-30,2013-08-31,11.976857,5.942938,12.811754,4.675881,113.600412
sh600519,2013-09-18,141.000000,142.380000,139.500000,141.900000,0.004246,6731766.000000,949223067.000000,147317742000.000000,147317742000.000000,0.006484,786.450453,2013-06-30,2013-08-31,12.069563,5.988939,12.910923,4.712074,114.479731
sh600519,2013-09-17,149.000000,149.200000,140.510000,141.300000,-0.055797,10905797.000000,1571781594.000000,146694834000.000000,146694834000.000000,0.010505,783.125303,2013-06-30,2013-08-31,12.018533,5.963617,12.856335,4.692151,113.995705
sh600519,2013-09-16,152.620000,152.620000,149.590000,149.650000,-0.015590,5887712.000000,889024058.000000,155363637000.000000,155363637000.000000,0.005671,829.403532,2013-06-30,2013-08-31,12.728759,6.316033,13.616070,4.969431,120.732200
sh600519,2013-09-13,151.690000,154.480000,151.650000,152.020000,0.001911,6825487.000000,1044001958.000000,157824123600.000000,157824123600.000000,0.006574,842.538711,2013-06-30,2013-08-31,12.930343,6.416059,13.831707,5.048131,122.644223
sh600519,2013-09-12,152.630000,153.200000,151.210000,151.730000,-0.005506,4772311.000000,725740678.000000,157523051400.000000,157523051400.000000,0.004597,840.931690,2013-06-30,2013-08-31,12.905681,6.403822,13.805325,5.038502,122.410297
sh600519,2013-09-11,151.750000,152.780000,150.000000,152.570000,0.006266,6901293.000000,1045733434.000000,158395122600.000000,158395122600.000000,0.006647,845.587495,2013-06-30,2013-08-31,12.977133,6.439276,13.881758,5.066398,123.088020
sh600519,2013-09-10,150.800000,151.880000,150.080000,151.620000,0.004439,5409309.000000,816720661.000000,157408851600.000000,157408851600.000000,0.005210,840.322037,2013-06-30,2013-08-31,12.896324,6.399179,13.795316,5.034850,122.321553
sh600519,2013-09-09,151.000000,151.520000,149.880000,150.950000,0.004458,6927092.000000,1042258764.000000,156713271000.000000,156713271000.000000,0.006672,836.608333,2013-06-30,2013-08-31,12.839330,6.370899,13.734350,5.012599,121.780967
sh600519,2013-09-06,150.100000,150.900000,149.770000,150.280000,0.000067,3778366.000000,567391478.000000,156017690400.000000,156017690400.000000,0.003639,832.895286,2013-06-30,2013-08-31,12.782347,6.342623,13.673394,4.990352,121.240477
sh600519,2013-09-05,151.860000,152.800000,149.300000,150.270000,-0.012032,7128326.000000,1070129375.000000,156007308600.000000,156007308600.000000,0.006866,832.839485,2013-06-30,2013-08-31,12.781490,6.342198,13.672477,4.990017,121.232355
sh600519,2013-09-04,152.000000,153.550000,151.600000,152.100000,0.002901,7678998.000000,1171694804.000000,157907178000.000000,157907178000.000000,0.007397,842.982248,2013-06-30,2013-08-31,12.937150,6.419437,13.838988,5.050788,122.708787
sh600519,2013-09-03,151.000000,152.800000,149.000000,151.660000,-0.001711,12321105.000000,1855978596.000000,157450378800.000000,157450378800.000000,0.011868,840.543830,2013-06-30,2013-08-31,12.899728,6.400868,13.798957,5.036178,122.353838
sh600519,2013-09-02,160.800000,160.800000,151.900000,151.920000,-0.099893,22497074.000000,3438418525.000000,157720305600.000000,157720305600.000000,0.021670,841.984466,2013-06-30,2013-08-31,12.921837,6.411839,13.822608,5.044810,122.563544
sh600519,2013-08-30,168.480000,169.000000,167.550000,168.780000,0.001781,2586142.000000,435606368.000000,175224020400.000000,175224020400.000000,0.002491,935.427083,2013-03-31,2013-04-18,12.988473,6.555114,15.912267,4.794428,136.165528
sh600519,2013-08-29,170.000000,170.340000,168.110000,168.480000,-0.008358,2180402.000000,368545672.000000,174912566400.000000,174912566400.000000,0.002100,933.764049,2013-03-31,2013-04-18,12.965382,6.543460,15.883978,4.785905,135.923448
