code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f,MA_2,MA_20,MA_160
sh600519,2013-04-23,173.5,174.98,171.7,171.81,-0.010938,3095262.0,535923146.0,1.783697058e+11,1.783697058e+11,0.002981,922.063683,2013-03-31,2013-04-18,12.802921,6.461468,15.684946,4.725936,134.220283,173.34,187.791,165.5701875
sh600519,2013-04-22,178.9,178.9,173.5,173.71,-0.030798,4274596.0,747616492.0,1.803422478e+11,1.803422478e+11,0.004117,932.260751,2013-03-31,2013-04-18,12.944508,6.532925,15.858406,4.7782,135.70462,172.76,186.3545,165.8361875
sh600519,2013-04-19,179.4,179.88,176.89,179.23,0.000447,3923838.0,701185036.0,1.860730014e+11,1.860730014e+11,0.00378,961.884882,2013-03-31,2013-04-18,13.355842,6.74052,16.362333,4.930035,140.016859,176.47,185.3425,166.1283125
sh600519,2013-04-18,177.2,180.0,176.01,179.15,0.003698,4195684.0,749007268.0,1.85989947e+11,1.85989947e+11,0.004041,961.455111,2013-03-31,2013-04-18,13.349874,6.737508,16.355022,4.927832,139.9543,179.19,184.549,166.4154375
sh600519,2013-04-17,173.6,178.77,173.55,178.49,0.030781,4297408.0,760898345.0,1.853047482e+11,1.853047482e+11,0.004139,957.91275,2012-12-31,2013-03-29,13.924217,7.004432,15.543978,5.426251,139.438656,178.82,183.7235,166.6999375
sh600519,2013-04-16,170.0,175.2,169.6,173.16,0.002431,3913792.0,676673436.0,1.797712488e+11,1.797712488e+11,0.00377,929.307729,2012-12-31,2013-03-29,13.508415,6.795267,15.079806,5.264213,135.274763,175.825,182.586,166.9296875
sh600519,2013-04-15,172.27,173.66,170.02,172.74,0.002961,2833673.0,487286254.0,1.793352132e+11,1.793352132e+11,0.002729,927.05406,2012-12-31,2013-03-29,13.475655,6.778788,15.043236,5.251447,134.946708,172.95,181.4805,167.1568125
sh600519,2013-04-12,168.92,174.4,168.5,172.23,0.019595,5980006.0,1032119622.0,1.788057414e+11,1.788057414e+11,0.00576,924.317157,2012-12-31,2013-03-29,13.435872,6.758775,14.998824,5.235943,134.54831,172.485,180.359,167.3808125
sh600519,2013-04-11,170.0,171.0,168.3,168.92,-0.006119,2972952.0,504695116.0,1.753693656e+11,1.753693656e+11,0.002864,906.553246,2012-12-31,2013-03-29,13.177655,6.628882,14.710571,5.135317,131.962505,170.575,179.2455,167.580625
sh600519,2013-04-10,164.0,171.11,162.7,169.96,0.038875,7085838.0,1194391200.0,1.764490728e+11,1.764490728e+11,0.006825,912.134598,2012-12-31,2013-03-29,13.258786,6.669694,14.801139,5.166933,132.774955,169.44,177.8595,167.78075
sh600519,2013-04-09,163.89,164.9,162.7,163.6,-0.004382,2419465.0,396645807.0,1.69846248e+11,1.69846248e+11,0.00233,878.00226,2012-12-31,2013-03-29,12.762638,6.420112,14.247276,4.973585,127.806478,166.78,176.184,167.9360625
sh600519,2013-04-08,162.14,165.0,160.45,164.32,0.002868,3773276.0,613230373.0,1.705937376e+11,1.705937376e+11,0.003635,881.866599,2012-12-31,2013-03-29,12.81881,6.448369,14.309982,4.995475,128.368991,163.96,174.541,168.106875
sh600519,2013-04-03,163.68,165.0,163.18,163.85,0.000855,2199050.0,360543770.0,1.70105793e+11,1.70105793e+11,0.002118,879.344639,2012-12-31,2013-03-29,12.782151,6.429928,14.269059,4.981189,128.001881,164.085,173.289,168.2654375
sh600519,2013-04-02,165.1,165.97,163.27,163.71,-0.007517,3252490.0,534554075.0,1.699604478e+11,1.699604478e+11,0.003133,878.593442,2012-12-31,2013-03-29,12.771232,6.424435,14.256869,4.976934,127.892533,163.78,172.09,168.42875
sh600519,2013-04-01,168.09,168.46,164.58,164.95,-0.023155,2912880.0,483197214.0,1.71247791e+11,1.71247791e+11,0.002806,885.24785,2012-12-31,2013-03-29,12.86796,6.473093,14.36485,5.014629,128.861183,164.33,171.4475,168.6048125
